ID,Run number,Action Space Size,Algorithm,Time Windows,No. Nodes,Distance,No. Vehicles
PPO_25A_50N_TW_5,5,25,PPO,TW,50,281.11,6.0
PPO_50A_50N_TW_1,1,50,PPO,TW,50,278.74,5.0
PPO_50A_50N_TW_2,2,50,PPO,TW,50,298.79,7.0
PPO_50A_50N_TW_3,3,50,PPO,TW,50,279.71,5.0
PPO_50A_50N_TW_4,4,50,PPO,TW,50,307.62,8.0
PPO_50A_50N_TW_5,5,50,PPO,TW,50,291.15,6.0
PPO_5A_75N_TW_1,1,5,PPO,TW,75,506.47,11.0
PPO_5A_75N_TW_2,2,5,PPO,TW,75,662.89,11.0
PPO_5A_75N_TW_3,3,5,PPO,TW,75,523.92,9.0
PPO_5A_75N_TW_4,4,5,PPO,TW,75,572.57,11.0
PPO_5A_75N_TW_5,5,5,PPO,TW,75,509.32,12.0
PPO_10A_75N_TW_1,1,10,PPO,TW,75,537.75,12.0
PPO_10A_75N_TW_2,2,10,PPO,TW,75,608.9,13.0
PPO_10A_75N_TW_3,3,10,PPO,TW,75,549.12,12.0
PPO_10A_75N_TW_4,4,10,PPO,TW,75,560.42,13.0
PPO_10A_75N_TW_5,5,10,PPO,TW,75,473.05,8.0
PPO_15A_75N_TW_1,1,15,PPO,TW,75,571.38,12.0
PPO_15A_75N_TW_2,2,15,PPO,TW,75,537.44,10.0
PPO_15A_75N_TW_3,3,15,PPO,TW,75,515.55,11.0
PPO_15A_75N_TW_4,4,15,PPO,TW,75,532.07,10.0
PPO_15A_75N_TW_5,5,15,PPO,TW,75,850.53,11.0
PPO_25A_75N_TW_1,1,25,PPO,TW,75,582.51,10.0
PPO_25A_75N_TW_2,2,25,PPO,TW,75,595.47,12.0
PPO_25A_75N_TW_3,3,25,PPO,TW,75,531.08,11.0
PPO_25A_75N_TW_4,4,25,PPO,TW,75,545.08,11.0
PPO_25A_75N_TW_5,5,25,PPO,TW,75,556.08,11.0
PPO_50A_75N_TW_1,1,50,PPO,TW,75,581.4,10.0
PPO_50A_75N_TW_2,2,50,PPO,TW,75,589.15,11.0
PPO_50A_75N_TW_3,3,50,PPO,TW,75,656.52,9.0
PPO_50A_75N_TW_4,4,50,PPO,TW,75,642.81,14.0
PPO_50A_75N_TW_5,5,50,PPO,TW,75,584.25,13.0
PPO_5A_100N_TW_1,1,5,PPO,TW,100,965.59,17.0
PPO_5A_100N_TW_2,2,5,PPO,TW,100,774.45,12.0
PPO_5A_100N_TW_3,3,5,PPO,TW,100,832.67,12.0
PPO_5A_100N_TW_4,4,5,PPO,TW,100,851.86,16.0
PPO_5A_100N_TW_5,5,5,PPO,TW,100,753.36,11.0
PPO_10A_100N_TW_1,1,10,PPO,TW,100,876.35,13.0
PPO_10A_100N_TW_2,2,10,PPO,TW,100,755.87,14.0
PPO_10A_100N_TW_3,3,10,PPO,TW,100,866.29,14.0
PPO_10A_100N_TW_4,4,10,PPO,TW,100,1311.06,17.0
PPO_10A_100N_TW_5,5,10,PPO,TW,100,746.58,14.0
PPO_15A_100N_TW_1,1,15,PPO,TW,100,920.15,15.0
PPO_15A_100N_TW_2,2,15,PPO,TW,100,781.25,16.0
PPO_15A_100N_TW_3,3,15,PPO,TW,100,1083.86,16.0
PPO_15A_100N_TW_4,4,15,PPO,TW,100,846.38,16.0
PPO_15A_100N_TW_5,5,15,PPO,TW,100,687.26,13.0
PPO_25A_100N_TW_1,1,25,PPO,TW,100,797.05,12.0
PPO_25A_100N_TW_2,2,25,PPO,TW,100,771.83,15.0
PPO_25A_100N_TW_3,3,25,PPO,TW,100,849.11,12.0
PPO_25A_100N_TW_4,4,25,PPO,TW,100,826.49,15.0
PPO_25A_100N_TW_5,5,25,PPO,TW,100,811.91,15.0
PPO_50A_100N_TW_1,1,50,PPO,TW,100,735.56,15.0
PPO_50A_100N_TW_2,2,50,PPO,TW,100,1029.95,15.0
PPO_50A_100N_TW_3,3,50,PPO,TW,100,986.17,15.0
PPO_50A_100N_TW_4,4,50,PPO,TW,100,953.94,17.0
PPO_50A_100N_TW_5,5,50,PPO,TW,100,803.32,14.0
PPO_5A_25N_NOTW_1,1,5,PPO,NOTW,25,125.79,3.0
PPO_5A_25N_NOTW_2,2,5,PPO,NOTW,25,128.1,3.0
PPO_5A_25N_NOTW_3,3,5,PPO,NOTW,25,129.93,3.0
PPO_5A_25N_NOTW_4,4,5,PPO,NOTW,25,125.79,3.0
PPO_5A_25N_NOTW_5,5,5,PPO,NOTW,25,125.79,3.0
PPO_10A_25N_NOTW_1,1,10,PPO,NOTW,25,125.83,3.0
PPO_10A_25N_NOTW_2,2,10,PPO,NOTW,25,125.79,3.0
PPO_10A_25N_NOTW_3,3,10,PPO,NOTW,25,125.79,3.0
PPO_10A_25N_NOTW_4,4,10,PPO,NOTW,25,126.27,3.0
PPO_10A_25N_NOTW_5,5,10,PPO,NOTW,25,132.03,3.0
PPO_15A_25N_NOTW_1,1,15,PPO,NOTW,25,125.79,3.0
PPO_15A_25N_NOTW_2,2,15,PPO,NOTW,25,128.1,3.0
PPO_15A_25N_NOTW_3,3,15,PPO,NOTW,25,125.79,3.0
PPO_15A_25N_NOTW_4,4,15,PPO,NOTW,25,127.13,3.0
PPO_15A_25N_NOTW_5,5,15,PPO,NOTW,25,125.79,3.0
PPO_25A_25N_NOTW_1,1,25,PPO,NOTW,25,126.87,3.0
PPO_25A_25N_NOTW_2,2,25,PPO,NOTW,25,125.67,3.0
PPO_25A_25N_NOTW_3,3,25,PPO,NOTW,25,128.1,3.0
PPO_25A_25N_NOTW_4,4,25,PPO,NOTW,25,132.03,3.0
PPO_25A_25N_NOTW_5,5,25,PPO,NOTW,25,125.79,3.0
PPO_50A_25N_NOTW_1,1,50,PPO,NOTW,25,,
PPO_50A_25N_NOTW_2,2,50,PPO,NOTW,25,,
PPO_50A_25N_NOTW_3,3,50,PPO,NOTW,25,,
PPO_50A_25N_NOTW_4,4,50,PPO,NOTW,25,,
PPO_50A_25N_NOTW_5,5,50,PPO,NOTW,25,,
PPO_5A_50N_NOTW_1,1,5,PPO,NOTW,50,272.54,5.0
PPO_5A_50N_NOTW_2,2,5,PPO,NOTW,50,270.07,5.0
PPO_5A_50N_NOTW_3,3,5,PPO,NOTW,50,279.63,5.0
PPO_5A_50N_NOTW_4,4,5,PPO,NOTW,50,274.82,5.0
PPO_5A_50N_NOTW_5,5,5,PPO,NOTW,50,297.15,6.0
PPO_10A_50N_NOTW_1,1,10,PPO,NOTW,50,292.86,5.0
PPO_10A_50N_NOTW_2,2,10,PPO,NOTW,50,286.94,6.0
PPO_10A_50N_NOTW_3,3,10,PPO,NOTW,50,294.97,5.0
PPO_10A_50N_NOTW_4,4,10,PPO,NOTW,50,289.36,7.0
PPO_10A_50N_NOTW_5,5,10,PPO,NOTW,50,290.45,7.0
PPO_15A_50N_NOTW_1,1,15,PPO,NOTW,50,272.01,6.0
PPO_15A_50N_NOTW_2,2,15,PPO,NOTW,50,306.2,6.0
PPO_15A_50N_NOTW_3,3,15,PPO,NOTW,50,273.19,6.0
PPO_15A_50N_NOTW_4,4,15,PPO,NOTW,50,277.64,6.0
PPO_15A_50N_NOTW_5,5,15,PPO,NOTW,50,295.48,7.0
PPO_25A_50N_NOTW_1,1,25,PPO,NOTW,50,287.02,5.0
PPO_25A_50N_NOTW_2,2,25,PPO,NOTW,50,288.91,6.0
PPO_25A_50N_NOTW_3,3,25,PPO,NOTW,50,293.65,7.0
PPO_25A_50N_NOTW_4,4,25,PPO,NOTW,50,297.1,6.0
PPO_25A_50N_NOTW_5,5,25,PPO,NOTW,50,287.94,7.0
PPO_50A_50N_NOTW_1,1,50,PPO,NOTW,50,311.67,6.0
PPO_50A_50N_NOTW_2,2,50,PPO,NOTW,50,303.42,7.0
PPO_50A_50N_NOTW_3,3,50,PPO,NOTW,50,280.7,5.0
PPO_50A_50N_NOTW_4,4,50,PPO,NOTW,50,294.57,7.0
PPO_50A_50N_NOTW_5,5,50,PPO,NOTW,50,277.74,5.0
PPO_5A_75N_NOTW_1,1,5,PPO,NOTW,75,509.85,10.0
PPO_5A_75N_NOTW_2,2,5,PPO,NOTW,75,528.36,13.0
PPO_5A_75N_NOTW_3,3,5,PPO,NOTW,75,520.6,10.0
PPO_5A_75N_NOTW_4,4,5,PPO,NOTW,75,501.64,12.0
PPO_5A_75N_NOTW_5,5,5,PPO,NOTW,75,535.11,11.0
PPO_10A_75N_NOTW_1,1,10,PPO,NOTW,75,483.09,9.0
PPO_10A_75N_NOTW_2,2,10,PPO,NOTW,75,503.4,13.0
PPO_10A_75N_NOTW_3,3,10,PPO,NOTW,75,546.83,10.0
PPO_10A_75N_NOTW_4,4,10,PPO,NOTW,75,552.48,12.0
PPO_10A_75N_NOTW_5,5,10,PPO,NOTW,75,501.71,10.0
PPO_15A_75N_NOTW_1,1,15,PPO,NOTW,75,529.4,12.0
PPO_15A_75N_NOTW_2,2,15,PPO,NOTW,75,519.96,11.0
PPO_15A_75N_NOTW_3,3,15,PPO,NOTW,75,541.34,9.0
PPO_15A_75N_NOTW_4,4,15,PPO,NOTW,75,532.79,9.0
PPO_15A_75N_NOTW_5,5,15,PPO,NOTW,75,515.47,10.0
PPO_25A_75N_NOTW_1,1,25,PPO,NOTW,75,570.48,12.0
PPO_25A_75N_NOTW_2,2,25,PPO,NOTW,75,592.97,12.0
PPO_25A_75N_NOTW_3,3,25,PPO,NOTW,75,568.53,10.0
PPO_25A_75N_NOTW_4,4,25,PPO,NOTW,75,528.41,11.0
PPO_25A_75N_NOTW_5,5,25,PPO,NOTW,75,574.18,10.0
PPO_50A_75N_NOTW_1,1,50,PPO,NOTW,75,577.77,11.0
PPO_50A_75N_NOTW_2,2,50,PPO,NOTW,75,601.08,10.0
PPO_50A_75N_NOTW_3,3,50,PPO,NOTW,75,553.45,10.0
PPO_50A_75N_NOTW_4,4,50,PPO,NOTW,75,555.0,12.0
PPO_50A_75N_NOTW_5,5,50,PPO,NOTW,75,562.24,10.0
PPO_5A_100N_NOTW_1,1,5,PPO,NOTW,100,779.8,15.0
PPO_5A_100N_NOTW_2,2,5,PPO,NOTW,100,760.14,14.0
PPO_5A_100N_NOTW_3,3,5,PPO,NOTW,100,747.35,12.0
PPO_5A_100N_NOTW_4,4,5,PPO,NOTW,100,770.67,14.0
PPO_5A_100N_NOTW_5,5,5,PPO,NOTW,100,760.46,12.0
PPO_10A_100N_NOTW_1,1,10,PPO,NOTW,100,755.74,14.0
PPO_10A_100N_NOTW_2,2,10,PPO,NOTW,100,783.23,16.0
PPO_10A_100N_NOTW_3,3,10,PPO,NOTW,100,811.49,14.0
PPO_10A_100N_NOTW_4,4,10,PPO,NOTW,100,759.47,12.0
PPO_10A_100N_NOTW_5,5,10,PPO,NOTW,100,711.41,15.0
PPO_15A_100N_NOTW_1,1,15,PPO,NOTW,100,752.26,15.0
PPO_15A_100N_NOTW_2,2,15,PPO,NOTW,100,836.17,12.0
PPO_15A_100N_NOTW_3,3,15,PPO,NOTW,100,764.03,15.0
PPO_15A_100N_NOTW_4,4,15,PPO,NOTW,100,730.83,12.0
PPO_15A_100N_NOTW_5,5,15,PPO,NOTW,100,725.39,13.0
PPO_25A_100N_NOTW_1,1,25,PPO,NOTW,100,791.23,13.0
PPO_25A_100N_NOTW_2,2,25,PPO,NOTW,100,768.01,14.0
PPO_25A_100N_NOTW_3,3,25,PPO,NOTW,100,824.39,14.0
PPO_25A_100N_NOTW_4,4,25,PPO,NOTW,100,846.82,16.0
PPO_25A_100N_NOTW_5,5,25,PPO,NOTW,100,778.24,14.0
PPO_50A_100N_NOTW_1,1,50,PPO,NOTW,100,950.09,15.0
PPO_50A_100N_NOTW_2,2,50,PPO,NOTW,100,872.72,15.0
PPO_50A_100N_NOTW_3,3,50,PPO,NOTW,100,990.96,11.0
PPO_50A_100N_NOTW_4,4,50,PPO,NOTW,100,1137.73,20.0
PPO_50A_100N_NOTW_5,5,50,PPO,NOTW,100,836.48,12.0
A2C_5A_25N_TW_1,1,5,A2C,TW,25,125.79,3.0
A2C_5A_25N_TW_2,2,5,A2C,TW,25,125.79,3.0
A2C_5A_25N_TW_3,3,5,A2C,TW,25,125.79,3.0
A2C_5A_25N_TW_4,4,5,A2C,TW,25,128.1,3.0
A2C_5A_25N_TW_5,5,5,A2C,TW,25,125.79,3.0
A2C_10A_25N_TW_1,1,10,A2C,TW,25,125.79,3.0
A2C_10A_25N_TW_2,2,10,A2C,TW,25,125.79,3.0
A2C_10A_25N_TW_3,3,10,A2C,TW,25,125.79,3.0
A2C_10A_25N_TW_4,4,10,A2C,TW,25,125.79,3.0
A2C_10A_25N_TW_5,5,10,A2C,TW,25,125.79,3.0
A2C_15A_25N_TW_1,1,15,A2C,TW,25,125.79,3.0
A2C_15A_25N_TW_2,2,15,A2C,TW,25,128.1,3.0
A2C_15A_25N_TW_3,3,15,A2C,TW,25,125.79,3.0
A2C_15A_25N_TW_4,4,15,A2C,TW,25,125.79,3.0
A2C_15A_25N_TW_5,5,15,A2C,TW,25,125.79,3.0
A2C_25A_25N_TW_1,1,25,A2C,TW,25,127.98,3.0
A2C_25A_25N_TW_2,2,25,A2C,TW,25,128.1,3.0
A2C_25A_25N_TW_3,3,25,A2C,TW,25,125.79,3.0
A2C_25A_25N_TW_4,4,25,A2C,TW,25,128.1,3.0
A2C_25A_25N_TW_5,5,25,A2C,TW,25,125.79,3.0
A2C_50A_25N_TW_1,1,50,A2C,TW,25,,
A2C_50A_25N_TW_2,2,50,A2C,TW,25,,
A2C_50A_25N_TW_3,3,50,A2C,TW,25,,
A2C_50A_25N_TW_4,4,50,A2C,TW,25,,
A2C_50A_25N_TW_5,5,50,A2C,TW,25,,
A2C_5A_50N_TW_1,1,5,A2C,TW,50,268.76,5.0
A2C_5A_50N_TW_2,2,5,A2C,TW,50,261.85,5.0
A2C_5A_50N_TW_3,3,5,A2C,TW,50,261.85,5.0
A2C_5A_50N_TW_4,4,5,A2C,TW,50,270.65,5.0
A2C_5A_50N_TW_5,5,5,A2C,TW,50,266.86,5.0
A2C_10A_50N_TW_1,1,10,A2C,TW,50,268.76,5.0
A2C_10A_50N_TW_2,2,10,A2C,TW,50,269.17,5.0
A2C_10A_50N_TW_3,3,10,A2C,TW,50,268.76,5.0
A2C_10A_50N_TW_4,4,10,A2C,TW,50,272.91,5.0
A2C_10A_50N_TW_5,5,10,A2C,TW,50,274.82,5.0
A2C_15A_50N_TW_1,1,15,A2C,TW,50,261.85,5.0
A2C_15A_50N_TW_2,2,15,A2C,TW,50,261.85,5.0
A2C_15A_50N_TW_3,3,15,A2C,TW,50,263.23,6.0
A2C_15A_50N_TW_4,4,15,A2C,TW,50,273.01,5.0
A2C_15A_50N_TW_5,5,15,A2C,TW,50,276.88,6.0
A2C_25A_50N_TW_1,1,25,A2C,TW,50,276.62,5.0
A2C_25A_50N_TW_2,2,25,A2C,TW,50,271.43,7.0
A2C_25A_50N_TW_3,3,25,A2C,TW,50,262.54,5.0
A2C_25A_50N_TW_4,4,25,A2C,TW,50,266.24,5.0
A2C_25A_50N_TW_5,5,25,A2C,TW,50,267.84,6.0
A2C_50A_50N_TW_1,1,50,A2C,TW,50,268.76,5.0
A2C_50A_50N_TW_2,2,50,A2C,TW,50,268.76,5.0
A2C_50A_50N_TW_3,3,50,A2C,TW,50,269.17,5.0
A2C_50A_50N_TW_4,4,50,A2C,TW,50,261.85,5.0
A2C_50A_50N_TW_5,5,50,A2C,TW,50,261.85,5.0
A2C_5A_75N_TW_1,1,5,A2C,TW,75,451.18,8.0
A2C_5A_75N_TW_2,2,5,A2C,TW,75,448.8,8.0
A2C_5A_75N_TW_3,3,5,A2C,TW,75,448.8,8.0
A2C_5A_75N_TW_4,4,5,A2C,TW,75,449.37,9.0
A2C_5A_75N_TW_5,5,5,A2C,TW,75,451.51,10.0
A2C_10A_75N_TW_1,1,10,A2C,TW,75,436.41,9.0
A2C_10A_75N_TW_2,2,10,A2C,TW,75,448.8,8.0
A2C_10A_75N_TW_3,3,10,A2C,TW,75,435.41,8.0
A2C_10A_75N_TW_4,4,10,A2C,TW,75,448.8,8.0
A2C_10A_75N_TW_5,5,10,A2C,TW,75,448.8,8.0
A2C_15A_75N_TW_1,1,15,A2C,TW,75,448.8,8.0
A2C_15A_75N_TW_2,2,15,A2C,TW,75,471.95,9.0
A2C_15A_75N_TW_3,3,15,A2C,TW,75,448.8,8.0
A2C_15A_75N_TW_4,4,15,A2C,TW,75,448.8,8.0
A2C_15A_75N_TW_5,5,15,A2C,TW,75,448.8,8.0
A2C_25A_75N_TW_1,1,25,A2C,TW,75,474.06,8.0
A2C_25A_75N_TW_2,2,25,A2C,TW,75,461.58,8.0
A2C_25A_75N_TW_3,3,25,A2C,TW,75,448.8,8.0
A2C_25A_75N_TW_4,4,25,A2C,TW,75,444.75,8.0
A2C_25A_75N_TW_5,5,25,A2C,TW,75,435.41,8.0
A2C_50A_75N_TW_1,1,50,A2C,TW,75,437.79,8.0
A2C_50A_75N_TW_2,2,50,A2C,TW,75,424.41,8.0
A2C_50A_75N_TW_3,3,50,A2C,TW,75,448.8,8.0
A2C_50A_75N_TW_4,4,50,A2C,TW,75,464.99,9.0
A2C_50A_75N_TW_5,5,50,A2C,TW,75,448.8,8.0
A2C_5A_100N_TW_1,1,5,A2C,TW,100,629.56,10.0
A2C_5A_100N_TW_2,2,5,A2C,TW,100,610.76,10.0
A2C_5A_100N_TW_3,3,5,A2C,TW,100,650.47,11.0
A2C_5A_100N_TW_4,4,5,A2C,TW,100,651.25,10.0
A2C_5A_100N_TW_5,5,5,A2C,TW,100,659.23,10.0
A2C_10A_100N_TW_1,1,10,A2C,TW,100,603.33,11.0
A2C_10A_100N_TW_2,2,10,A2C,TW,100,631.48,11.0
A2C_10A_100N_TW_3,3,10,A2C,TW,100,624.65,10.0
A2C_10A_100N_TW_4,4,10,A2C,TW,100,658.24,10.0
A2C_10A_100N_TW_5,5,10,A2C,TW,100,629.4,12.0
A2C_15A_100N_TW_1,1,15,A2C,TW,100,624.06,10.0
A2C_15A_100N_TW_2,2,15,A2C,TW,100,637.21,11.0
A2C_15A_100N_TW_3,3,15,A2C,TW,100,633.31,12.0
A2C_15A_100N_TW_4,4,15,A2C,TW,100,639.13,11.0
A2C_15A_100N_TW_5,5,15,A2C,TW,100,609.78,10.0
A2C_25A_100N_TW_1,1,25,A2C,TW,100,594.25,10.0
A2C_25A_100N_TW_2,2,25,A2C,TW,100,650.05,15.0
A2C_25A_100N_TW_3,3,25,A2C,TW,100,657.17,10.0
A2C_25A_100N_TW_4,4,25,A2C,TW,100,612.89,11.0
A2C_25A_100N_TW_5,5,25,A2C,TW,100,649.15,10.0
A2C_50A_100N_TW_1,1,50,A2C,TW,100,609.78,10.0
A2C_50A_100N_TW_2,2,50,A2C,TW,100,617.94,10.0
A2C_50A_100N_TW_3,3,50,A2C,TW,100,649.15,12.0
A2C_50A_100N_TW_4,4,50,A2C,TW,100,651.38,11.0
A2C_50A_100N_TW_5,5,50,A2C,TW,100,645.51,12.0
A2C_5A_25N_NOTW_1,1,5,A2C,NOTW,25,127.85,3.0
A2C_5A_25N_NOTW_2,2,5,A2C,NOTW,25,125.79,3.0
A2C_5A_25N_NOTW_3,3,5,A2C,NOTW,25,125.79,3.0
A2C_5A_25N_NOTW_4,4,5,A2C,NOTW,25,125.79,3.0
A2C_5A_25N_NOTW_5,5,5,A2C,NOTW,25,125.79,3.0
A2C_10A_25N_NOTW_1,1,10,A2C,NOTW,25,125.79,3.0
A2C_10A_25N_NOTW_2,2,10,A2C,NOTW,25,128.1,3.0
A2C_10A_25N_NOTW_3,3,10,A2C,NOTW,25,127.55,3.0
A2C_10A_25N_NOTW_4,4,10,A2C,NOTW,25,125.79,3.0
A2C_10A_25N_NOTW_5,5,10,A2C,NOTW,25,125.79,3.0
A2C_15A_25N_NOTW_1,1,15,A2C,NOTW,25,127.22,3.0
A2C_15A_25N_NOTW_2,2,15,A2C,NOTW,25,125.79,3.0
A2C_15A_25N_NOTW_3,3,15,A2C,NOTW,25,125.79,3.0
A2C_15A_25N_NOTW_4,4,15,A2C,NOTW,25,128.1,3.0
A2C_15A_25N_NOTW_5,5,15,A2C,NOTW,25,128.1,3.0
A2C_25A_25N_NOTW_1,1,25,A2C,NOTW,25,132.03,3.0
A2C_25A_25N_NOTW_2,2,25,A2C,NOTW,25,125.79,3.0
A2C_25A_25N_NOTW_3,3,25,A2C,NOTW,25,132.03,3.0
A2C_25A_25N_NOTW_4,4,25,A2C,NOTW,25,132.03,3.0
A2C_25A_25N_NOTW_5,5,25,A2C,NOTW,25,129.43,3.0
A2C_50A_25N_NOTW_1,1,50,A2C,NOTW,25,,
A2C_50A_25N_NOTW_2,2,50,A2C,NOTW,25,,
A2C_50A_25N_NOTW_3,3,50,A2C,NOTW,25,,
A2C_50A_25N_NOTW_4,4,50,A2C,NOTW,25,,
A2C_50A_25N_NOTW_5,5,50,A2C,NOTW,25,,
A2C_5A_50N_NOTW_1,1,5,A2C,NOTW,50,261.85,5.0
A2C_5A_50N_NOTW_2,2,5,A2C,NOTW,50,271.91,5.0
A2C_5A_50N_NOTW_3,3,5,A2C,NOTW,50,270.05,6.0
A2C_5A_50N_NOTW_4,4,5,A2C,NOTW,50,273.57,5.0
A2C_5A_50N_NOTW_5,5,5,A2C,NOTW,50,260.66,5.0
A2C_10A_50N_NOTW_1,1,10,A2C,NOTW,50,269.23,6.0
A2C_10A_50N_NOTW_2,2,10,A2C,NOTW,50,270.07,5.0
A2C_10A_50N_NOTW_3,3,10,A2C,NOTW,50,270.07,5.0
A2C_10A_50N_NOTW_4,4,10,A2C,NOTW,50,275.09,6.0
A2C_10A_50N_NOTW_5,5,10,A2C,NOTW,50,261.85,5.0
A2C_15A_50N_NOTW_1,1,15,A2C,NOTW,50,276.21,5.0
A2C_15A_50N_NOTW_2,2,15,A2C,NOTW,50,270.07,5.0
A2C_15A_50N_NOTW_3,3,15,A2C,NOTW,50,261.85,5.0
A2C_15A_50N_NOTW_4,4,15,A2C,NOTW,50,261.85,5.0
A2C_15A_50N_NOTW_5,5,15,A2C,NOTW,50,278.74,5.0
A2C_25A_50N_NOTW_1,1,25,A2C,NOTW,50,261.85,5.0
A2C_25A_50N_NOTW_2,2,25,A2C,NOTW,50,270.07,5.0
A2C_25A_50N_NOTW_3,3,25,A2C,NOTW,50,274.17,5.0
A2C_25A_50N_NOTW_4,4,25,A2C,NOTW,50,269.84,5.0
A2C_25A_50N_NOTW_5,5,25,A2C,NOTW,50,261.85,5.0
A2C_50A_50N_NOTW_1,1,50,A2C,NOTW,50,270.07,5.0
A2C_50A_50N_NOTW_2,2,50,A2C,NOTW,50,274.82,5.0
A2C_50A_50N_NOTW_3,3,50,A2C,NOTW,50,261.85,5.0
A2C_50A_50N_NOTW_4,4,50,A2C,NOTW,50,260.54,5.0
A2C_50A_50N_NOTW_5,5,50,A2C,NOTW,50,269.17,5.0
A2C_5A_75N_NOTW_1,1,5,A2C,NOTW,75,463.25,10.0
A2C_5A_75N_NOTW_2,2,5,A2C,NOTW,75,448.46,9.0
A2C_5A_75N_NOTW_3,3,5,A2C,NOTW,75,437.88,8.0
A2C_5A_75N_NOTW_4,4,5,A2C,NOTW,75,448.8,8.0
A2C_5A_75N_NOTW_5,5,5,A2C,NOTW,75,464.82,9.0
A2C_10A_75N_NOTW_1,1,10,A2C,NOTW,75,469.05,9.0
A2C_10A_75N_NOTW_2,2,10,A2C,NOTW,75,466.85,8.0
A2C_10A_75N_NOTW_3,3,10,A2C,NOTW,75,461.55,9.0
A2C_10A_75N_NOTW_4,4,10,A2C,NOTW,75,468.33,9.0
A2C_10A_75N_NOTW_5,5,10,A2C,NOTW,75,448.8,8.0
A2C_15A_75N_NOTW_1,1,15,A2C,NOTW,75,484.33,9.0
A2C_15A_75N_NOTW_2,2,15,A2C,NOTW,75,443.75,9.0
A2C_15A_75N_NOTW_3,3,15,A2C,NOTW,75,448.8,8.0
A2C_15A_75N_NOTW_4,4,15,A2C,NOTW,75,468.52,8.0
A2C_15A_75N_NOTW_5,5,15,A2C,NOTW,75,493.07,8.0
A2C_25A_75N_NOTW_1,1,25,A2C,NOTW,75,450.37,9.0
A2C_25A_75N_NOTW_2,2,25,A2C,NOTW,75,479.69,8.0
A2C_25A_75N_NOTW_3,3,25,A2C,NOTW,75,488.86,9.0
A2C_25A_75N_NOTW_4,4,25,A2C,NOTW,75,448.8,8.0
A2C_25A_75N_NOTW_5,5,25,A2C,NOTW,75,443.56,8.0
